,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
544,257.000 ₫,0,13,63,4.5,1740,1,4.8
545,120.000 ₫,0,3,41,4.7,291,5,5
546,135.000 ₫,0,2,24,4.6,153,1,5
547,299.000 ₫,-39%,35,134,4.9,1433,3,4.6
548,115.000 ₫,-39%,18,46,4.9,1433,3,4.7
549,527.199 ₫,-50%,1,2,4.7,645,4,3
550,29.000 ₫,0,0,0,4.2,1331,3,0
551,63.000 ₫,0,4,16,4.7,1843,2,5
552,145.000 ₫,-28%,7,34,4.8,277,1,4.6
553,69.000 ₫,-37%,3,81,4.7,543,5,4.7
554,89.000 ₫,-26%,2,11,4.7,543,5,5
555,145.000 ₫,0,39,220,4.7,5529,6,4.9
556,125.000 ₫,0,2,8,3.9,22,1,2.5
557,138.000 ₫,0,14,32,4.4,120,1,4.5
558,79.300 ₫,0,13,111,4.8,46,1,4.6
559,66.000 ₫,0,24,139,4.7,416,1,4.6
560,156.000 ₫,0,79,280,4.8,46,1,4.9
561,39.999 ₫,0,2,4,4.1,165,0,4.5
562,614.240 ₫,-12%,15,82,4.7,159,4,0
563,498.000 ₫,-45%,10,37,4.7,88,3,5
564,468.000 ₫,-38%,3,11,4.5,17,3,4.7
565,402.000 ₫,-3%,11,62,4.4,493,4,4.6
566,267.500 ₫,0,0,0,4.7,645,4,0
567,15.980 ₫,0,0,5,4.2,2867,1,0
568,195.000 ₫,-43%,4,22,4.7,543,5,5
569,139.000 ₫,-37%,2,9,4.7,543,5,0
570,42.999 ₫,0,0,7,4.3,259,1,0
571,162.000 ₫,0,2,48,4.2,262,2,5
572,19.000 ₫,0,0,0,0.0,1,0,0
573,52.000 ₫,0,3,6,4.3,79,3,4
574,12.000 ₫,0,9,175,4.7,1945,0,4.9
575,58.000 ₫,0,1,9,4.0,19,1,5
576,39.000 ₫,0,0,0,4.2,1331,3,0
577,318.000 ₫,-41%,13,42,4.7,645,4,4.9
578,249.900 ₫,-50%,79,316,4.7,645,4,4.8
579,37.000 ₫,0,4,11,4.7,1945,0,5
580,207.000 ₫,0,2,37,4.2,262,2,5
581,155.000 ₫,0,85,272,4.4,597,1,4.8
582,345.000 ₫,-12%,0,1,4.6,256,1,0
583,242.100 ₫,-10%,10,34,4.7,159,4,4.4
584,256.000 ₫,-10%,35,118,4.8,5222,2,4.9
585,128.000 ₫,-10%,42,209,4.8,5222,2,4.6
586,126.000 ₫,-17%,13,125,4.7,937,4,5
587,235.000 ₫,0,4,24,4.7,1945,1,3.8
588,252.252 ₫,-2%,1,8,4.2,11,2,5
589,31.500 ₫,0,4,15,4.5,586,0,0
590,34.000 ₫,0,5,32,4.7,7,1,5
591,126.000 ₫,-25%,41,161,4.6,81,1,4.6
592,87.000 ₫,-2%,5,39,4.4,6,1,3.8
593,51.000 ₫,0,0,0,4.3,119,2,0
594,99.000 ₫,0,9,51,4.6,228,1,3.7
595,284.000 ₫,-32%,8,44,4.6,81,1,4.5
596,15.000 ₫,0,8,51,4.3,267,1,4.8
597,109.000 ₫,0,6,38,4.7,339,2,5
598,190.000 ₫,0,13,54,4.3,65,2,4.5
599,68.000 ₫,0,21,197,4.4,333,2,0
600,44.000 ₫,0,10,58,4.4,1740,3,0
601,45.989 ₫,0,4,21,4.3,311,4,5
602,99.000 ₫,0,41,212,4.6,318,1,4.4
603,87.000 ₫,-30%,32,188,4.8,277,1,4.9
604,35.000 ₫,-19%,26,152,4.4,1024,3,4.5
605,149.000 ₫,-7%,4,86,4.7,110,3,5
606,84.000 ₫,-14%,28,238,4.7,581,4,4.8
607,85.000 ₫,0,2,17,4.7,31,1,4.5
608,90.000 ₫,0,10,114,4.6,318,1,4.3
609,106.000 ₫,0,54,246,4.7,645,4,4.6
610,59.000 ₫,-13%,4,24,4.8,277,1,4.8
611,139.000 ₫,-50%,14,50,4.7,645,4,4.4
612,129.000 ₫,-50%,3,12,4.7,645,4,5
613,120.000 ₫,-8%,26,115,4.5,632,1,4.5
614,68.000 ₫,-33%,46,254,4.6,3379,2,4.4
615,89.000 ₫,-26%,3,4,4.7,543,5,0
616,158.000 ₫,-21%,35,342,4.7,1638,1,4.8
617,34.900 ₫,0,10,91,4.2,87,0,4.7
618,169.000 ₫,-35%,0,2,4.8,641,2,0
619,206.000 ₫,-8%,2,13,4.7,429,1,4.5
620,223.999 ₫,-45%,6,37,4.7,88,3,4.7
621,32.000 ₫,0,10,202,4.6,318,0,4.6
622,24.000 ₫,-20%,5,73,4.5,4710,1,4.2
623,135.000 ₫,0,5,26,4.6,1126,2,4.4
624,19.999 ₫,0,13,49,4.2,330,1,4.2
625,219.000 ₫,-50%,0,0,4.7,645,4,0
626,274.000 ₫,-38%,0,0,4.5,17,3,0
627,35.000 ₫,0,144,5000+,4.5,138,0,4.8
628,73.000 ₫,-3%,24,540,4.4,493,4,0
629,33.440 ₫,-12%,2,5,5.0,25,3,5
630,55.000 ₫,0,2,15,4.3,0,1,5
631,19.000 ₫,0,3,30,4.6,8294,3,3.7
632,98.000 ₫,0,12,117,4.5,569,1,4.8
633,44.000 ₫,-4%,2,48,4.7,2867,1,3
